dt,price,pricelog
2019-11-07 00:00:00.000,9340.048651574896,9.142066740157384
2019-11-08 00:00:00.000,9221.073784983802,9.129246772348989
2019-11-09 00:00:00.000,8795.896069400225,9.08204053593866
2019-11-10 00:00:00.000,8809.78367388588,9.083618164018754
2019-11-11 00:00:00.000,9043.673292397065,9.109820708507977
2019-11-12 00:00:00.000,8729.917418490728,9.074511189280399
2019-11-13 00:00:00.000,8806.751998954014,9.08327397887156
2019-11-14 00:00:00.000,8770.78082523136,9.07918111506675
2019-11-15 00:00:00.000,8652.025288272329,9.065548709892571
2019-11-16 00:00:00.000,8480.435541874604,9.045517088537132
2019-11-17 00:00:00.000,8496.376959145864,9.047395111511788
2019-11-18 00:00:00.000,8508.499434051764,9.04882087629586
2019-11-19 00:00:00.000,8202.834446107912,9.012235037683753
2019-11-20 00:00:00.000,8138.831605359057,9.004401911268927
2019-11-21 00:00:00.000,8095.865638011639,8.999108795294129
2019-11-22 00:00:00.000,7632.494765498649,8.940170038791392
2019-11-23 00:00:00.000,7293.013949172297,8.894672175662
2019-11-24 00:00:00.000,7309.689243566324,8.896956040700163
2019-11-25 00:00:00.000,6935.73862740252,8.844442834273192
2019-11-26 00:00:00.000,7118.264883393205,8.87041927855465
2019-11-27 00:00:00.000,7157.684731054473,8.87594184607749
2019-11-28 00:00:00.000,7483.754192176799,8.920489842410014
2019-11-29 00:00:00.000,7438.621769308849,8.914440864606329
2019-11-30 00:00:00.000,7720.865011260837,8.951681684832685
2019-12-01 00:00:00.000,7556.397585815771,8.93014984579397
2019-12-02 00:00:00.000,7405.808478752477,8.910019900857305
2019-12-03 00:00:00.000,7308.982444423794,8.896859342565316
2019-12-04 00:00:00.000,7286.080951511441,8.893721088062845
2019-12-05 00:00:00.000,7209.971417454778,8.883220265979151
2019-12-06 00:00:00.000,7373.782498577651,8.90568608264138
2019-12-07 00:00:00.000,7530.922830404948,8.92677286712347
2019-12-08 00:00:00.000,7493.545154556748,8.921797282896847
2019-12-09 00:00:00.000,7508.315669139108,8.923766441193777
2019-12-10 00:00:00.000,7347.036951245358,8.90205237504078
2019-12-11 00:00:00.000,7233.950487171398,8.886540568027934
2019-12-12 00:00:00.000,7197.426825880834,8.881478855832475
2019-12-13 00:00:00.000,7200.7070180298015,8.881934497131725
2019-12-14 00:00:00.000,7247.350277010915,8.888391202012004
2019-12-15 00:00:00.000,7081.740255265727,8.865274955250543
2019-12-16 00:00:00.000,7108.563021778046,8.869055395729362
2019-12-17 00:00:00.000,6901.036915336086,8.839426956879745
2019-12-18 00:00:00.000,6627.162514553135,8.79893201488293
2019-12-19 00:00:00.000,7274.768503792503,8.892167270748866
2019-12-20 00:00:00.000,7152.558691632884,8.87522543064144
2019-12-21 00:00:00.000,7185.439179630756,8.879811921158774
2019-12-22 00:00:00.000,7141.554857046259,8.873685798719132
2019-12-23 00:00:00.000,7488.196174601466,8.921083216345432
2019-12-24 00:00:00.000,7335.207616177015,8.90044099504045
2019-12-25 00:00:00.000,7266.60819662888,8.891044913741224
2019-12-26 00:00:00.000,7204.1848756885975,8.882417368888353
2019-12-27 00:00:00.000,7208.489307892152,8.883014680986955
2019-12-28 00:00:00.000,7247.62371236525,8.888428930310733
2019-12-29 00:00:00.000,7307.887522683333,8.89670952639469
2019-12-30 00:00:00.000,7394.029285530991,8.908428100204313
2019-12-31 00:00:00.000,7240.4289122518185,8.887435725648755
2020-01-01 00:00:00.000,7195.153895430029,8.881163008311628
2020-01-02 00:00:00.000,7193.7546679601,8.880968521361048
2020-01-03 00:00:00.000,6963.853353983485,8.848488242938545
2020-01-04 00:00:00.000,7300.34693530511,8.89567715139145
2020-01-05 00:00:00.000,7351.377053166627,8.90264292883061
2020-01-06 00:00:00.000,7349.972248050628,8.90245181642433
2020-01-07 00:00:00.000,7734.675515785289,8.953468812002516
2020-01-08 00:00:00.000,8147.415237636371,9.005456007176333
2020-01-09 00:00:00.000,8045.789124592971,8.992904143440573
2020-01-10 00:00:00.000,7832.795643840387,8.966074767896359
2020-01-11 00:00:00.000,8180.513169803805,9.009510162323895
2020-01-12 00:00:00.000,8012.085781814529,8.98870640339521
2020-01-13 00:00:00.000,8171.401185320944,9.008395676860221
2020-01-14 00:00:00.000,8110.647964503772,9.000933040897369
2020-01-15 00:00:00.000,8801.871213137745,9.082719615718634
2020-01-16 00:00:00.000,8820.85010599613,9.084873528255995
2020-01-17 00:00:00.000,8720.91950137424,9.073479958749141
2020-01-18 00:00:00.000,8902.568995225329,9.094095165217416
2020-01-19 00:00:00.000,8906.902675151074,9.094581836589986
2020-01-20 00:00:00.000,8690.380569544623,9.069972011264218
2020-01-21 00:00:00.000,8631.253954333763,9.06314507529899
2020-01-22 00:00:00.000,8724.818622931474,9.073926958651853
2020-01-23 00:00:00.000,8665.436914096897,9.067097623740247
2020-01-24 00:00:00.000,8415.956027335538,9.037884710075003
2020-01-25 00:00:00.000,8432.096675789418,9.039800736060462
2020-01-26 00:00:00.000,8348.665665079325,9.029857004486125
2020-01-27 00:00:00.000,8595.728298493115,9.059020649363037
2020-01-28 00:00:00.000,8879.335548714553,9.091482007591432
2020-01-29 00:00:00.000,9320.805853868467,9.1400043689491
2020-01-30 00:00:00.000,9276.893821086494,9.135282052194487
2020-01-31 00:00:00.000,9509.80513557522,9.160078664853712
2020-02-01 00:00:00.000,9308.060285564778,9.138636001148607
2020-02-02 00:00:00.000,9363.22420680057,9.144544976695183
2020-02-03 00:00:00.000,9338.416631939404,9.141891991363533
2020-02-04 00:00:00.000,9308.91270229121,9.138727575297377
2020-02-05 00:00:00.000,9179.95928107711,9.124778047992184
2020-02-06 00:00:00.000,9592.18387389791,9.168703866029238
2020-02-07 00:00:00.000,9744.636578159387,9.184472318086621
2020-02-08 00:00:00.000,9799.448455824684,9.190081383056993
2020-02-09 00:00:00.000,9890.701658194865,9.199350368328188
2020-02-10 00:00:00.000,10148.379719131783,9.225069338144062
2020-02-11 00:00:00.000,9890.121224019967,9.199291681773182
2020-02-12 00:00:00.000,10226.925769215322,9.232779302464948
2020-02-13 00:00:00.000,10328.897565836414,9.242700834815084
2020-02-14 00:00:00.000,10221.260309201634,9.232225174080462
2020-02-15 00:00:00.000,10320.157140513991,9.241854265713618
2020-02-16 00:00:00.000,9894.136123789158,9.199697549909017
2020-02-17 00:00:00.000,9943.673602578743,9.204691809097815
2020-02-18 00:00:00.000,9723.605026422496,9.182311716184747
2020-02-19 00:00:00.000,10133.817417084678,9.223633369008015
2020-02-20 00:00:00.000,9618.409248250406,9.171434171176747
2020-02-21 00:00:00.000,9608.16918128246,9.170368971981404
2020-02-22 00:00:00.000,9673.011800270346,9.177094998100168
2020-02-23 00:00:00.000,9658.606058375473,9.175604616419053
2020-02-24 00:00:00.000,9946.716123467522,9.204997737835704
2020-02-25 00:00:00.000,9670.9608064677,9.17688294302213
2020-02-26 00:00:00.000,9345.342701734848,9.14263339142002
2020-02-27 00:00:00.000,8801.657129472504,9.082695292905493
2020-02-28 00:00:00.000,8781.175282202359,9.080365536691613
2020-02-29 00:00:00.000,8717.331431359424,9.073068441552916
2020-03-01 00:00:00.000,8552.989118581636,9.05403610534586
2020-03-02 00:00:00.000,8567.802248679225,9.055766531641721
2020-03-03 00:00:00.000,8905.876104262194,9.094466574293998
2020-03-04 00:00:00.000,8756.718576742549,9.077576522057386
2020-03-05 00:00:00.000,8758.646993191916,9.077796719169397
2020-03-06 00:00:00.000,9038.870323233425,9.10928948133345
2020-03-07 00:00:00.000,9135.84506603321,9.119960973130409
2020-03-08 00:00:00.000,8902.20195010789,9.094053935243876
2020-03-09 00:00:00.000,8041.365538071835,8.992354190795076
2020-03-10 00:00:00.000,7921.33200691072,8.977314653358096
2020-03-11 00:00:00.000,7906.731528510632,8.975469767847168
2020-03-12 00:00:00.000,7935.522040170545,8.979104420357977
2020-03-13 00:00:00.000,5142.990459018316,8.545389990633844
2020-03-14 00:00:00.000,5542.819542373153,8.620258592940571
2020-03-15 00:00:00.000,5214.189112383918,8.559138863951528
2020-03-16 00:00:00.000,5397.93335743919,8.59377144771426
2020-03-17 00:00:00.000,5032.501351487721,8.523672426065867
2020-03-18 00:00:00.000,5389.41577503409,8.592192267496657
2020-03-19 00:00:00.000,5376.280747845438,8.58975210328093
2020-03-20 00:00:00.000,6170.200600237675,8.727486628565035
2020-03-21 00:00:00.000,6195.603505257629,8.731595207439089
2020-03-22 00:00:00.000,6145.770891252399,8.723519464295046
2020-03-23 00:00:00.000,5859.647430299388,8.675844715283123
2020-03-24 00:00:00.000,6456.347485963419,8.772819032225538
2020-03-25 00:00:00.000,6730.173782371188,8.814356244351629
2020-03-26 00:00:00.000,6695.9006183977235,8.809250770123345
2020-03-27 00:00:00.000,6765.56207892991,8.819600623469732
2020-03-28 00:00:00.000,6397.826328325604,8.763713575459203
2020-03-29 00:00:00.000,6255.000398693634,8.741136486640999
2020-03-30 00:00:00.000,5915.337154791903,8.68530377475287
2020-03-31 00:00:00.000,6403.141235565223,8.764543966993045
2020-04-01 00:00:00.000,6421.70541388854,8.767439002200346
2020-04-02 00:00:00.000,6640.797666310131,8.800987365723786
2020-04-03 00:00:00.000,6807.897017890566,8.82583854350698
2020-04-04 00:00:00.000,6732.852018394612,8.814754109749554
2020-04-05 00:00:00.000,6859.424923721944,8.833378886844738
2020-04-06 00:00:00.000,6788.048272605917,8.822918737791104
2020-04-07 00:00:00.000,7297.635558289496,8.895305678546077
2020-04-08 00:00:00.000,7196.782202442051,8.881389288779786
2020-04-09 00:00:00.000,7342.291601148024,8.901406280122897
2020-04-10 00:00:00.000,7294.488875121554,8.894874393405784
2020-04-11 00:00:00.000,6864.694257006497,8.8341467807218
2020-04-12 00:00:00.000,6878.781212589853,8.836196765901724
2020-04-13 00:00:00.000,6913.158787469097,8.84118194508247
2020-04-14 00:00:00.000,6857.538537511484,8.83310384255703
2020-04-15 00:00:00.000,6860.17853570111,8.833488745993677
2020-04-16 00:00:00.000,6629.431738031291,8.799274368802356
2020-04-17 00:00:00.000,7059.92622475854,8.862189880681774
2020-04-18 00:00:00.000,7035.261503989225,8.858690140711113
2020-04-19 00:00:00.000,7242.5109294929825,8.887723238719754
2020-04-20 00:00:00.000,7127.511949689152,8.87171749734651
2020-04-21 00:00:00.000,6856.456278354705,8.832946009748493
2020-04-22 00:00:00.000,6842.038597634602,8.830841006801176
2020-04-23 00:00:00.000,7109.995291181778,8.869256860516023
2020-04-24 00:00:00.000,7382.793144116689,8.906907320803551
2020-04-25 00:00:00.000,7495.393587498606,8.922043922499963
2020-04-26 00:00:00.000,7538.557687279841,8.927786154544917
2020-04-27 00:00:00.000,7683.867415083342,8.94687826906537
2020-04-28 00:00:00.000,7774.281554448049,8.958576328205272
2020-04-29 00:00:00.000,7758.230255185947,8.956509527268933
2020-04-30 00:00:00.000,8744.430287016561,9.076172238048258
2020-05-01 00:00:00.000,8610.63580374089,9.06075343949688
2020-05-02 00:00:00.000,8824.818413551968,9.085323305221753
2020-05-03 00:00:00.000,8966.307014689282,9.101229166231445
2020-05-04 00:00:00.000,8888.671912686868,9.092532926199148
2020-05-05 00:00:00.000,8884.407813577056,9.092053088235518
2020-05-06 00:00:00.000,9003.240557621584,9.105339853469559
2020-05-07 00:00:00.000,9144.68703972007,9.120928338229547
2020-05-08 00:00:00.000,9959.166416261767,9.206248653929768
2020-05-09 00:00:00.000,9821.81131529702,9.19236083599897
2020-05-10 00:00:00.000,9566.777187205966,9.166051665682485
2020-05-11 00:00:00.000,8752.617087745832,9.077108030373827
2020-05-12 00:00:00.000,8604.75159101983,9.060069840247525
2020-05-13 00:00:00.000,8788.466749414652,9.081195544225947
2020-05-14 00:00:00.000,9283.08601265873,9.135949314967126
2020-05-15 00:00:00.000,9796.494527024528,9.189779899344257
2020-05-16 00:00:00.000,9309.29535940684,9.138768680984285
2020-05-17 00:00:00.000,9375.29710843331,9.145833541902665
2020-05-18 00:00:00.000,9666.32719340344,9.176403701760071
2020-05-19 00:00:00.000,9708.439858793108,9.18075087471924
2020-05-20 00:00:00.000,9760.198937162193,9.186068062105372
2020-05-21 00:00:00.000,9526.50759300584,9.16183346495127
2020-05-22 00:00:00.000,9059.962506871727,9.111620260714083
2020-05-23 00:00:00.000,9131.767275081993,9.11951452277414
2020-05-24 00:00:00.000,9170.361063506127,9.123731938903507
2020-05-25 00:00:00.000,8731.848525870651,9.074732370505018
2020-05-26 00:00:00.000,8883.691769863415,9.091972489439833
2020-05-27 00:00:00.000,8839.130663273247,9.086943809537187
2020-05-28 00:00:00.000,9174.118563996424,9.124141598988627
2020-05-29 00:00:00.000,9546.04563503715,9.163882278094658
2020-05-30 00:00:00.000,9427.120373393418,9.151345960317855
2020-05-31 00:00:00.000,9662.70587254818,9.176028999012626
2020-06-01 00:00:00.000,9466.961781429516,9.155563309089953
2020-06-02 00:00:00.000,10167.93069332851,9.226993996690327
2020-06-03 00:00:00.000,9515.243858655718,9.160650408267387
2020-06-04 00:00:00.000,9645.227869360308,9.174218550707229
2020-06-05 00:00:00.000,9776.20299178848,9.18770644549495
2020-06-06 00:00:00.000,9636.965527050057,9.173361558699519
2020-06-07 00:00:00.000,9662.858709002241,9.176044816036073
